Jugadores;Posicion;Edad;Altura;Pie;Fichado;Equipo Anterior;Valor de mercado;Temporada;Club
Nicolás Gianni;Centrocampista;25;1,75;derecho;01/07/2000;Inferiores Argentinos Juniors;800000;2008;Argentinos Juniors
Maximiliano Sola;Defensa;22;1,8;izquierdo;-;;-;2008;Argentinos Juniors
Nicolás Navarro;Portero;23;1,9;derecho;24/07/2010;SSC Nápoles;2000000;2008;Argentinos Juniors
Juan Carrera;Portero;27;1,91;derecho;01/01/2005;inactivo;800000;2008;Argentinos Juniors
Sebastián Torrico;Portero;28;1,86;derecho;01/01/2009;CD Godoy Cruz Antonio Tomba;250000;2008;Argentinos Juniors
Diego Morales;Portero;25;1,84;derecho;01/01/2002;Inferiores Argentinos Juniors;75000;2008;Argentinos Juniors
Andrés Scotti;Defensa central;32;1,84;derecho;11/01/2007;Libre;2250000;2008;Argentinos Juniors
Matías Caruzzo;Defensa central;23;1,85;derecho;23/01/2020;CA Rosario Central;1600000;2008;Argentinos Juniors
Juan Sabia;Defensa central;26;1,76;derecho;01/08/2014;Libre;975000;2008;Argentinos Juniors
Leandro Fleitas;Defensa central;24;1,8;derecho;01/01/2003;Inferiores Argentinos Juniors;925000;2008;Argentinos Juniors
Facundo Quiroga;Defensa central;23;1,84;izquierdo;01/07/2004;Inferiores Argentinos Juniors;400000;2008;Argentinos Juniors
Ignacio Canuto;Defensa central;22;1,82;derecho;01/01/2008;Club Atlético Unión;100000;2008;Argentinos Juniors
Diego Ianiero;Defensa central;21;1,85;derecho;01/07/2004;Inferiores Argentinos Juniors;80000;2008;Argentinos Juniors
Álvaro Pereira;Lateral izquierdo;22;1,8;izquierdo;01/07/2007;Quilmes Atlético Club;2900000;2008;Argentinos Juniors
Sergio Escudero;Lateral izquierdo;25;1,93;izquierdo;01/01/2011;Sport Club Corinthians Paulista;1830000;2008;Argentinos Juniors
Bruno Urribarri;Lateral izquierdo;21;1,76;izquierdo;01/01/2008;CA Boca Juniors;1000000;2008;Argentinos Juniors
Ariel Seltzer;Lateral izquierdo;27;1,66;izquierdo;01/01/2001;Inferiores Argentinos Juniors;500000;2008;Argentinos Juniors
Sebastián Brunet;Lateral izquierdo;24;1,74;izquierdo;01/01/2005;Inferiores Argentinos Juniors;-;2008;Argentinos Juniors
Pablo Barzola;Lateral derecho;24;1,78;derecho;01/07/2011;Libre;1850000;2008;Argentinos Juniors
Juan Fernández;Lateral derecho;28;-;-;01/07/2008;Libre;1000000;2008;Argentinos Juniors
Gonzalo Prósperi;Lateral derecho;22;1,79;derecho;01/01/2004;Inferiores Argentinos Juniors;600000;2008;Argentinos Juniors
Néstor Ortigoza;Pivote;23;1,8;derecho;01/07/2004;Inferiores Argentinos Juniors;1950000;2008;Argentinos Juniors
Juan Mercier;Pivote;28;1,85;derecho;01/07/2007;CA Platense;700000;2008;Argentinos Juniors
Gabriel Peñalba;Mediocentro;23;1,94;derecho;01/01/2012;FC Lorient;2600000;2008;Argentinos Juniors
Roberto Battión;Mediocentro;26;1,9;derecho;01/07/2007;Club Atlético Unión;2100000;2008;Argentinos Juniors
Lionel Coudannes;Mediocentro;23;1,75;derecho;01/07/2005;Inferiores Argentinos Juniors;325000;2008;Argentinos Juniors
Mauro Bogado;Mediocentro;23;1,7;derecho;01/01/2004;Inferiores Argentinos Juniors;200000;2008;Argentinos Juniors
Franco Quiroga;Mediocentro;21;1,77;derecho;01/07/2008;Nueva Chicago;-;2008;Argentinos Juniors
Martín Cabrera;Interior derecho;28;1,7;derecho;01/07/2007;Club Olimpo;1200000;2008;Argentinos Juniors
Andrés Romero;Interior derecho;18;1,78;derecho;01/07/2008;Inferiores Argentinos Juniors;-;2008;Argentinos Juniors
Carlos Recalde;Interior izquierdo;24;1,76;derecho;01/08/2008;CA San Martín San Juan;1600000;2008;Argentinos Juniors
Daniel Romero;Interior izquierdo;27;1,85;izquierdo;01/07/2007;Club Sportivo Ben Hur;650000;2008;Argentinos Juniors
Rodrigo Díaz;Mediocentro ofensivo;26;1,79;derecho;01/07/2008;Libre;1900000;2008;Argentinos Juniors
Milovan Mirosevic;Mediocentro ofensivo;28;1,8;derecho;15/01/2008;Libre;1000000;2008;Argentinos Juniors
Carlos Santibáñez;Mediocentro ofensivo;21;1,67;izquierdo;01/01/2006;Inferiores Argentinos Juniors;450000;2008;Argentinos Juniors
Rafael Viotti;Extremo izquierdo;20;1,64;derecho;01/07/2006;Club Atlético San Telmo;100000;2008;Argentinos Juniors
Gonzalo Abán;Extremo derecho;21;1,79;derecho;01/07/2006;Libre35 mil €;1850000;2008;Argentinos Juniors
Marcos Ovejero;Extremo derecho;21;1,7;derecho;-;;-;2008;Argentinos Juniors
Gabriel Hauche;Delantero centro;21;1,69;derecho;02/01/2019;Millonarios FC;3100000;2008;Argentinos Juniors
Alejandro Delorte;Delantero centro;30;1,99;ambidiestro;01/07/2007;Libre;1950000;2008;Argentinos Juniors
Nicolás Pavlovich;Delantero centro;30;1,87;ambidiestro;01/07/2008;Libre;1550000;2008;Argentinos Juniors
Franco Niell;Delantero centro;25;1,63;derecho;01/01/2004;Inferiores Argentinos Juniors;1030000;2008;Argentinos Juniors
Gabriel Pérez Tarifa;Delantero centro;21;1,86;derecho;01/07/2007;Inferiores Argentinos Juniors;550000;2008;Argentinos Juniors
Roberto Saucedo;Delantero centro;26;1,84;;01/07/2007;Indios de Ciudad Juárez - 2011;500000;2008;Argentinos Juniors
Mariano Martínez;Delantero centro;29;1,8;derecho;01/07/2008;Club Olimpo;450000;2008;Argentinos Juniors
Emmanuel Gigliotti;Delantero centro;21;1,87;derecho;01/06/2008;Inferiores Argentinos Juniors;-;2008;Argentinos Juniors
Óscar Alegre;Delantero centro;22;1,76;;-;;-;2008;Argentinos Juniors
Nicolás Gianni;Centrocampista;26;1,75;derecho;01/07/2000;Inferiores Argentinos Juniors;600000;2009;Argentinos Juniors
Maximiliano Sola;Defensa;23;1,8;izquierdo;-;;25000;2009;Argentinos Juniors
Sebastián Torrico;Portero;29;1,86;derecho;01/01/2009;CD Godoy Cruz Antonio Tomba;1100000;2009;Argentinos Juniors
Juan Carrera;Portero;28;1,91;derecho;01/01/2005;inactivo;250000;2009;Argentinos Juniors
Diego Morales;Portero;26;1,84;derecho;01/01/2002;Inferiores Argentinos Juniors;75000;2009;Argentinos Juniors
Diego Quirós;Portero;20;1,79;derecho;-;;-;2009;Argentinos Juniors
Matías Caruzzo;Defensa central;24;1,85;derecho;23/01/2020;CA Rosario Central;2000000;2009;Argentinos Juniors
Andrés Scotti;Defensa central;33;1,84;derecho;11/01/2007;Libre;1900000;2009;Argentinos Juniors
Juan Sabia;Defensa central;27;1,76;derecho;01/08/2014;Libre;1400000;2009;Argentinos Juniors
Ignacio Canuto;Defensa central;23;1,82;derecho;01/01/2008;Club Atlético Unión;1000000;2009;Argentinos Juniors
Leandro Fleitas;Defensa central;25;1,8;derecho;01/01/2003;Inferiores Argentinos Juniors;600000;2009;Argentinos Juniors
Facundo Quiroga;Defensa central;24;1,84;izquierdo;01/07/2004;Inferiores Argentinos Juniors;600000;2009;Argentinos Juniors
Nicolás Berardo;Defensa central;18;1,81;izquierdo;01/07/2010;Inferiores Argentinos Juniors;-;2009;Argentinos Juniors
Sergio Escudero;Lateral izquierdo;26;1,93;izquierdo;01/01/2011;Sport Club Corinthians Paulista;1800000;2009;Argentinos Juniors
Derlis Cardozo;Lateral izquierdo;28;1,72;izquierdo;01/01/2009;Club Olimpia Asunción;700000;2009;Argentinos Juniors
Gonzalo Prósperi;Lateral derecho;23;1,79;derecho;01/01/2004;Inferiores Argentinos Juniors;1400000;2009;Argentinos Juniors
Juan Fernández;Lateral derecho;29;-;-;01/07/2008;Libre;800000;2009;Argentinos Juniors
Pedro Balbuena;Lateral derecho;20;-;;-;;-;2009;Argentinos Juniors
Néstor Ortigoza;Pivote;24;1,8;derecho;01/07/2004;Inferiores Argentinos Juniors;2300000;2009;Argentinos Juniors
Juan Mercier;Pivote;29;1,85;derecho;01/07/2007;CA Platense;1700000;2009;Argentinos Juniors
Gabriel Peñalba;Mediocentro;24;1,94;derecho;01/01/2012;FC Lorient;1800000;2009;Argentinos Juniors
Mauro Bogado;Mediocentro;24;1,7;derecho;01/01/2004;Inferiores Argentinos Juniors;900000;2009;Argentinos Juniors
Franco Quiroga;Mediocentro;22;1,77;derecho;01/07/2008;Nueva Chicago;700000;2009;Argentinos Juniors
Matías Córdoba;Mediocentro;24;1,76;derecho;01/01/2004;Inferiores Argentinos Juniors;300000;2009;Argentinos Juniors
Andrés Romero;Interior derecho;19;1,78;derecho;01/07/2008;Inferiores Argentinos Juniors;700000;2009;Argentinos Juniors
Martín Cabrera;Interior derecho;29;1,7;derecho;01/07/2007;Club Olimpo;500000;2009;Argentinos Juniors
Jonathan Páez;Interior derecho;22;1,8;derecho;-;;50000;2009;Argentinos Juniors
Facundo Alfonso;Interior derecho;21;1,7;derecho;-;;50000;2009;Argentinos Juniors
Fernando Aníbal Alarcón;Interior derecho;19;1,76;derecho;-;;25000;2009;Argentinos Juniors
Carlos Recalde;Interior izquierdo;25;1,76;derecho;01/08/2008;CA San Martín San Juan;1100000;2009;Argentinos Juniors
Juan Carlos Ojeda;Interior izquierdo;20;1,7;izquierdo;01/01/2009;Libre;250000;2009;Argentinos Juniors
Daniel Romero;Interior izquierdo;28;1,85;izquierdo;01/07/2007;Club Sportivo Ben Hur;150000;2009;Argentinos Juniors
Rodrigo Díaz;Mediocentro ofensivo;27;1,79;derecho;01/07/2008;Libre;1600000;2009;Argentinos Juniors
Carlos Santibáñez;Mediocentro ofensivo;22;1,67;izquierdo;01/01/2006;Inferiores Argentinos Juniors;250000;2009;Argentinos Juniors
Kevin Harbottle;Mediocentro ofensivo;19;1,65;izquierdo;-;;25000;2009;Argentinos Juniors
Rafael Viotti;Extremo izquierdo;21;1,64;derecho;01/07/2006;Club Atlético San Telmo;300000;2009;Argentinos Juniors
Gonzalo Abán;Extremo derecho;22;1,79;derecho;01/07/2006;Libre35 mil €;500000;2009;Argentinos Juniors
Ciro Rius;Extremo derecho;20;1,71;derecho;01/01/2009;Inferiores Argentinos Juniors;300000;2009;Argentinos Juniors
Gabriel Hauche;Delantero centro;22;1,69;derecho;02/01/2019;Millonarios FC;3000000;2009;Argentinos Juniors
Nicolás Pavlovich;Delantero centro;31;1,87;ambidiestro;01/07/2008;Libre;1100000;2009;Argentinos Juniors
Mariano Martínez;Delantero centro;30;1,8;derecho;01/07/2008;Club Olimpo;500000;2009;Argentinos Juniors
Gabriel Pérez Tarifa;Delantero centro;22;1,86;derecho;01/07/2007;Inferiores Argentinos Juniors;400000;2009;Argentinos Juniors
Hernán Salazar;Delantero centro;19;1,74;derecho;-;;75000;2009;Argentinos Juniors
Nicolás Gianni;Centrocampista;27;1,75;derecho;01/07/2000;Inferiores Argentinos Juniors;400000;2010;Argentinos Juniors
Matías Rotondi;Delantero;18;1,73;derecho;-;;25000;2010;Argentinos Juniors
Nicolás Peric;Portero;31;1,83;derecho;28/07/2009;CD Everton;800000;2010;Argentinos Juniors
Sebastián Torrico;Portero;30;1,86;derecho;01/01/2009;CD Godoy Cruz Antonio Tomba;600000;2010;Argentinos Juniors
Nicolás Navarro;Portero;25;1,9;derecho;24/07/2010;SSC Nápoles;500000;2010;Argentinos Juniors
Luis Ojeda;Portero;20;1,83;derecho;01/07/2011;Club Atlético Unión;300000;2010;Argentinos Juniors
Diego Morales;Portero;27;1,84;derecho;01/01/2002;Inferiores Argentinos Juniors;75000;2010;Argentinos Juniors
Gabriel Frandino;Portero;20;1,91;derecho;-;;50000;2010;Argentinos Juniors
Diego Quirós;Portero;21;1,79;derecho;-;;25000;2010;Argentinos Juniors
Matías Caruzzo;Defensa central;25;1,85;derecho;23/01/2020;CA Rosario Central;1750000;2010;Argentinos Juniors
Ignacio Canuto;Defensa central;24;1,82;derecho;01/01/2008;Club Atlético Unión;1750000;2010;Argentinos Juniors
Andrés Scotti;Defensa central;34;1,84;derecho;11/01/2007;Libre;1200000;2010;Argentinos Juniors
Santiago Gentiletti;Defensa central;25;1,82;izquierdo;01/02/2010;Club de Gimnasia y Esgrima La Plata;1000000;2010;Argentinos Juniors
Juan Sabia;Defensa central;28;1,76;derecho;01/08/2014;Libre;1000000;2010;Argentinos Juniors
Miguel Torrén;Defensa central;21;1,79;derecho;01/07/2011;CA Newell's Old Boys;750000;2010;Argentinos Juniors
Julián Fernández;Defensa central;20;1,9;;01/07/2010;Atlético de Rafaela;300000;2010;Argentinos Juniors
Nicolás Berardo;Defensa central;19;1,81;izquierdo;01/07/2010;Inferiores Argentinos Juniors;75000;2010;Argentinos Juniors
Federico Domínguez;Lateral izquierdo;33;-;-;01/07/2009;Club Nacional;1000000;2010;Argentinos Juniors
Sergio Escudero;Lateral izquierdo;27;1,93;izquierdo;01/01/2011;Sport Club Corinthians Paulista;400000;2010;Argentinos Juniors
Lucas Rodríguez;Lateral izquierdo;16;1,68;izquierdo;01/01/2011;Inferiores Argentinos Juniors;-;2010;Argentinos Juniors
Gonzalo Prósperi;Lateral derecho;24;1,79;derecho;01/01/2004;Inferiores Argentinos Juniors;1250000;2010;Argentinos Juniors
Néstor Ortigoza;Pivote;25;1,8;derecho;01/07/2004;Inferiores Argentinos Juniors;2300000;2010;Argentinos Juniors
Juan Mercier;Pivote;30;1,85;derecho;01/07/2007;CA Platense;2300000;2010;Argentinos Juniors
René Martín Lima;Pivote;25;1,78;izquierdo;01/07/2009;Libre;300000;2010;Argentinos Juniors
Matías Laba;Pivote;18;1,74;derecho;01/01/2011;Inferiores Argentinos Juniors;50000;2010;Argentinos Juniors
Mauro Bogado;Mediocentro;25;1,7;derecho;01/01/2004;Inferiores Argentinos Juniors;700000;2010;Argentinos Juniors
Franco Quiroga;Mediocentro;23;1,77;derecho;01/07/2008;Nueva Chicago;500000;2010;Argentinos Juniors
Lionel Coudannes;Mediocentro;25;1,75;derecho;01/07/2005;Inferiores Argentinos Juniors;250000;2010;Argentinos Juniors
Germán Basualdo;Mediocentro;29;1,67;derecho;01/07/2014;Club Almirante Brown;100000;2010;Argentinos Juniors
Ramón Ocampo;Interior derecho;24;1,63;derecho;01/07/2010;Libre;400000;2010;Argentinos Juniors
Andrés Romero;Interior derecho;20;1,78;derecho;01/07/2008;Inferiores Argentinos Juniors;400000;2010;Argentinos Juniors
Facundo Alfonso;Interior derecho;22;1,7;derecho;-;;50000;2010;Argentinos Juniors
Fernando Aníbal Alarcón;Interior derecho;20;1,76;derecho;-;;25000;2010;Argentinos Juniors
Carlos Recalde;Interior izquierdo;26;1,76;derecho;01/08/2008;CA San Martín San Juan;1100000;2010;Argentinos Juniors
Santiago Raymonda;Mediocentro ofensivo;31;1,69;derecho;12/08/2009;Tiburones Rojos de Veracruz;1200000;2010;Argentinos Juniors
Facundo Coria;Mediocentro ofensivo;23;1,8;izquierdo;05/08/2013;CSD Colo Colo;1000000;2010;Argentinos Juniors
Gustavo Oberman;Mediocentro ofensivo;25;1,77;derecho;01/07/2009;Córdoba CF;600000;2010;Argentinos Juniors
Diego García;Mediocentro ofensivo;24;1,78;derecho;01/07/2009;Quilmes Atlético Club;200000;2010;Argentinos Juniors
Carlos Santibáñez;Mediocentro ofensivo;23;1,67;izquierdo;01/01/2006;Inferiores Argentinos Juniors;150000;2010;Argentinos Juniors
Arturo Mendoza;Mediocentro ofensivo;16;1,65;derecho;-;;-;2010;Argentinos Juniors
Emilio Hernández;Extremo izquierdo;25;1,76;izquierdo;01/07/2011;CD Cruz Azul;700000;2010;Argentinos Juniors
Ciro Rius;Extremo derecho;21;1,71;derecho;01/01/2009;Inferiores Argentinos Juniors;100000;2010;Argentinos Juniors
Gabriel Hauche;Delantero centro;23;1,69;derecho;02/01/2019;Millonarios FC;3000000;2010;Argentinos Juniors
Ismael Sosa;Delantero centro;23;1,79;derecho;01/07/2009;CA Independiente;1800000;2010;Argentinos Juniors
Gonzalo Vargas;Delantero centro;28;1,74;derecho;02/07/2010;Atlas Guadalajara;1000000;2010;Argentinos Juniors
Franco Niell;Delantero centro;27;1,63;derecho;01/01/2004;Inferiores Argentinos Juniors;900000;2010;Argentinos Juniors
Fabio Escobar;Delantero centro;28;1,84;derecho;01/08/2010;Club Atlético Tucumán;700000;2010;Argentinos Juniors
Nicolás Pavlovich;Delantero centro;32;1,87;ambidiestro;01/07/2008;Libre;600000;2010;Argentinos Juniors
José Luis Calderón;Delantero centro;39;-;-;01/01/2010;Libre;400000;2010;Argentinos Juniors
Hernán Salazar;Delantero centro;20;1,74;derecho;-;;75000;2010;Argentinos Juniors
Sebastián Jaime;Delantero centro;23;1,8;derecho;-;;50000;2010;Argentinos Juniors
Nicolás Blandi;Delantero centro;20;1,8;derecho;01/08/2010;CA Boca Juniors;-;2010;Argentinos Juniors
Rodrigo Díaz;Centrocampista;18;1,69;derecho;-;;-;2011;Argentinos Juniors
Nicolás Navarro;Portero;26;1,9;derecho;24/07/2010;SSC Nápoles;600000;2011;Argentinos Juniors
Luis Ojeda;Portero;21;1,83;derecho;01/07/2011;Club Atlético Unión;600000;2011;Argentinos Juniors
Nereo Fernández;Portero;32;1,95;derecho;01/07/2011;Club Atlético Boca Unidos;300000;2011;Argentinos Juniors
Juan Carrera;Portero;30;1,91;derecho;01/01/2005;inactivo;200000;2011;Argentinos Juniors
Rodrigo Lugo;Portero;19;1,91;derecho;-;;25000;2011;Argentinos Juniors
Santiago Gentiletti;Defensa central;26;1,82;izquierdo;01/02/2010;Club de Gimnasia y Esgrima La Plata;1500000;2011;Argentinos Juniors
Juan Sabia;Defensa central;29;1,76;derecho;01/08/2014;Libre;1000000;2011;Argentinos Juniors
Miguel Torrén;Defensa central;22;1,79;derecho;01/07/2011;CA Newell's Old Boys;600000;2011;Argentinos Juniors
Nicolás Berardo;Defensa central;20;1,81;izquierdo;01/07/2010;Inferiores Argentinos Juniors;500000;2011;Argentinos Juniors
Federico Pistone;Defensa central;21;1,78;derecho;01/01/2011;Inferiores Argentinos Juniors;300000;2011;Argentinos Juniors
Julián Fernández;Defensa central;21;1,9;;01/07/2010;Atlético de Rafaela;200000;2011;Argentinos Juniors
Jefferson Hurtado;Defensa central;23;1,88;derecho;11/07/2011;Barcelona SC Guayaquil;-;2011;Argentinos Juniors
Federico Domínguez;Lateral izquierdo;34;-;-;01/07/2009;Club Nacional;600000;2011;Argentinos Juniors
Sergio Escudero;Lateral izquierdo;28;1,93;izquierdo;01/01/2011;Sport Club Corinthians Paulista;500000;2011;Argentinos Juniors
Lucas Rodríguez;Lateral izquierdo;17;1,68;izquierdo;01/01/2011;Inferiores Argentinos Juniors;200000;2011;Argentinos Juniors
Nicolás Batista;Lateral izquierdo;20;1,79;derecho;01/01/2011;Inferiores Argentinos Juniors;25000;2011;Argentinos Juniors
Gonzalo Prósperi;Lateral derecho;25;1,79;derecho;01/01/2004;Inferiores Argentinos Juniors;1400000;2011;Argentinos Juniors
Pablo Barzola;Lateral derecho;27;1,78;derecho;01/07/2011;Libre;1000000;2011;Argentinos Juniors
Lucas Fernández;Lateral derecho;22;1,75;derecho;-;;25000;2011;Argentinos Juniors
Néstor Ortigoza;Pivote;26;1,8;derecho;01/07/2004;Inferiores Argentinos Juniors;2300000;2011;Argentinos Juniors
Juan Mercier;Pivote;31;1,85;derecho;01/07/2007;CA Platense;1700000;2011;Argentinos Juniors
Roberto Brum;Pivote;27;1,74;derecho;16/07/2011;Club Olimpo;400000;2011;Argentinos Juniors
Matías Laba;Pivote;19;1,74;derecho;01/01/2011;Inferiores Argentinos Juniors;400000;2011;Argentinos Juniors
Mauro Bogado;Mediocentro;26;1,7;derecho;01/01/2004;Inferiores Argentinos Juniors;700000;2011;Argentinos Juniors
Pablo Hernández;Mediocentro;24;1,84;izquierdo;01/02/2011;Defensor Sporting Club;400000;2011;Argentinos Juniors
Germán Basualdo;Mediocentro;30;1,67;derecho;01/07/2014;Club Almirante Brown;400000;2011;Argentinos Juniors
Lionel Coudannes;Mediocentro;26;1,75;derecho;01/07/2005;Inferiores Argentinos Juniors;100000;2011;Argentinos Juniors
Juan Ramírez;Mediocentro;18;1,73;izquierdo;01/07/2012;Inferiores Argentinos Juniors;-;2011;Argentinos Juniors
Andrés Romero;Interior derecho;21;1,78;derecho;01/07/2008;Inferiores Argentinos Juniors;400000;2011;Argentinos Juniors
Ramón Ocampo;Interior derecho;25;1,63;derecho;01/07/2010;Libre;200000;2011;Argentinos Juniors
Guillermo Pereyra;Interior derecho;22;1,76;derecho;01/08/2010;Inferiores Argentinos Juniors;175000;2011;Argentinos Juniors
Carlos Recalde;Interior izquierdo;27;1,76;derecho;01/08/2008;CA San Martín San Juan;600000;2011;Argentinos Juniors
Gustavo Oberman;Mediocentro ofensivo;26;1,77;derecho;01/07/2009;Córdoba CF;800000;2011;Argentinos Juniors
Christian Sánchez Prette;Mediocentro ofensivo;26;1,75;derecho;01/01/2011;CFR Cluj;700000;2011;Argentinos Juniors
Emilio Hernández;Extremo izquierdo;26;1,76;izquierdo;01/07/2011;CD Cruz Azul;600000;2011;Argentinos Juniors
Leandro Barrera;Extremo izquierdo;20;1,79;izquierdo;01/07/2011;Inferiores Argentinos Juniors;200000;2011;Argentinos Juniors
Gonzalo Rodriguez;Extremo izquierdo;20;1,74;ambidiestro;-;;-;2011;Argentinos Juniors
Ciro Rius;Extremo derecho;22;1,71;derecho;01/01/2009;Inferiores Argentinos Juniors;900000;2011;Argentinos Juniors
Franco Niell;Delantero centro;28;1,63;derecho;01/01/2004;Inferiores Argentinos Juniors;1500000;2011;Argentinos Juniors
Juan José Morales;Delantero centro;29;1,84;derecho;01/07/2011;Quilmes Atlético Club;1200000;2011;Argentinos Juniors
Santiago Salcedo;Delantero centro;29;1,83;derecho;01/07/2011;Club Atlético Lanús;800000;2011;Argentinos Juniors
Nicolás Blandi;Delantero centro;21;1,8;derecho;01/08/2010;CA Boca Juniors;600000;2011;Argentinos Juniors
Gonzalo Vargas;Delantero centro;29;1,74;derecho;02/07/2010;Atlas Guadalajara;500000;2011;Argentinos Juniors
Fabio Escobar;Delantero centro;29;1,84;derecho;01/08/2010;Club Atlético Tucumán;500000;2011;Argentinos Juniors
Gabriel Pérez Tarifa;Delantero centro;24;1,86;derecho;01/07/2007;Inferiores Argentinos Juniors;400000;2011;Argentinos Juniors
Hernán Salazar;Delantero centro;21;1,74;derecho;-;;50000;2011;Argentinos Juniors
Eyal Strahman;Delantero centro;22;1,81;izquierdo;-;;-;2011;Argentinos Juniors
Matías Rotondi;Delantero;20;1,73;derecho;-;;25000;2012;Argentinos Juniors
Rodrigo Díaz;Centrocampista;19;1,69;derecho;-;;-;2012;Argentinos Juniors
Luis Ojeda;Portero;22;1,83;derecho;01/07/2011;Club Atlético Unión;600000;2012;Argentinos Juniors
Nereo Fernández;Portero;33;1,95;derecho;01/07/2011;Club Atlético Boca Unidos;300000;2012;Argentinos Juniors
Rodrigo Lugo;Portero;20;1,91;derecho;-;;-;2012;Argentinos Juniors
Sebastián Giovini;Portero;21;1,87;izquierdo;-;;-;2012;Argentinos Juniors
Aníbal Matellán;Defensa central;35;1,81;izquierdo;12/07/2012;San Luis FC;850000;2012;Argentinos Juniors
Juan Sabia;Defensa central;30;1,76;derecho;01/08/2014;Libre;800000;2012;Argentinos Juniors
Ariel Garcé;Defensa central;32;1,78;derecho;01/07/2012;Libre;500000;2012;Argentinos Juniors
Nicolás Berardo;Defensa central;21;1,81;izquierdo;01/07/2010;Inferiores Argentinos Juniors;500000;2012;Argentinos Juniors
Miguel Torrén;Defensa central;23;1,79;derecho;01/07/2011;CA Newell's Old Boys;500000;2012;Argentinos Juniors
Federico Pistone;Defensa central;22;1,78;derecho;01/01/2011;Inferiores Argentinos Juniors;200000;2012;Argentinos Juniors
Jefferson Hurtado;Defensa central;24;1,88;derecho;11/07/2011;Barcelona SC Guayaquil;-;2012;Argentinos Juniors
Franco Flores;Defensa central;19;1,85;derecho;01/07/2014;Inferiores Argentinos Juniors;-;2012;Argentinos Juniors
Juan Lemos;Defensa central;19;1,83;izquierdo;01/01/2012;Inferiores Argentinos Juniors;-;2012;Argentinos Juniors
Sergio Escudero;Lateral izquierdo;29;1,93;izquierdo;01/01/2011;Sport Club Corinthians Paulista;500000;2012;Argentinos Juniors
Lucas Rodríguez;Lateral izquierdo;18;1,68;izquierdo;01/01/2011;Inferiores Argentinos Juniors;200000;2012;Argentinos Juniors
Nicolás Batista;Lateral izquierdo;21;1,79;derecho;01/01/2011;Inferiores Argentinos Juniors;25000;2012;Argentinos Juniors
Franco Canever;Lateral izquierdo;22;1,75;izquierdo;21/07/2012;Instituto AC Córdoba;-;2012;Argentinos Juniors
Gonzalo Prósperi;Lateral derecho;26;1,79;derecho;01/01/2004;Inferiores Argentinos Juniors;1300000;2012;Argentinos Juniors
Pablo Barzola;Lateral derecho;28;1,78;derecho;01/07/2011;Libre;800000;2012;Argentinos Juniors
Ivan Falcón Garcia;Lateral derecho;21;1,71;derecho;01/01/2012;Inferiores Argentinos Juniors;-;2012;Argentinos Juniors
Roberto Brum;Pivote;28;1,74;derecho;16/07/2011;Club Olimpo;400000;2012;Argentinos Juniors
Matías Laba;Pivote;20;1,74;derecho;01/01/2011;Inferiores Argentinos Juniors;400000;2012;Argentinos Juniors
Gabriel Peñalba;Mediocentro;27;1,94;derecho;01/01/2012;FC Lorient;650000;2012;Argentinos Juniors
Alejandro Capurro;Mediocentro;31;1,76;derecho;01/07/2012;Club de Gimnasia y Esgrima La Plata;600000;2012;Argentinos Juniors
Germán Basualdo;Mediocentro;31;1,67;derecho;01/07/2014;Club Almirante Brown;500000;2012;Argentinos Juniors
Pablo Hernández;Mediocentro;25;1,84;izquierdo;01/02/2011;Defensor Sporting Club;400000;2012;Argentinos Juniors
Sebastián Navarro;Mediocentro;24;1,77;derecho;21/07/2012;Libre;25000;2012;Argentinos Juniors
Gaspar Iñíguez;Mediocentro;18;1,72;izquierdo;01/07/2011;Inferiores Argentinos Juniors;25000;2012;Argentinos Juniors
Juan Ramírez;Mediocentro;19;1,73;izquierdo;01/07/2012;Inferiores Argentinos Juniors;-;2012;Argentinos Juniors
Fabio Vázquez;Mediocentro;18;1,83;derecho;01/07/2011;Comisión de Actividades Infantiles;-;2012;Argentinos Juniors
Andrés Romero;Interior derecho;22;1,78;derecho;01/07/2008;Inferiores Argentinos Juniors;150000;2012;Argentinos Juniors
Fernando Aníbal Alarcón;Interior derecho;22;1,76;derecho;-;;-;2012;Argentinos Juniors
Santiago Nagüel;Interior derecho;19;1,69;derecho;01/07/2013;Inferiores Argentinos Juniors;-;2012;Argentinos Juniors
Gustavo Oberman;Mediocentro ofensivo;27;1,77;derecho;01/07/2009;Córdoba CF;1400000;2012;Argentinos Juniors
Maximiliano Rodríguez;Mediocentro ofensivo;18;1,78;derecho;01/07/2011;Inferiores Argentinos Juniors;-;2012;Argentinos Juniors
Arturo Mendoza;Mediocentro ofensivo;18;1,65;derecho;-;;-;2012;Argentinos Juniors
Leonel Núñez;Extremo izquierdo;27;1,85;derecho;26/07/2012;CA Independiente;800000;2012;Argentinos Juniors
Emilio Hernández;Extremo izquierdo;27;1,76;izquierdo;01/07/2011;CD Cruz Azul;600000;2012;Argentinos Juniors
Leandro Barrera;Extremo izquierdo;21;1,79;izquierdo;01/07/2011;Inferiores Argentinos Juniors;200000;2012;Argentinos Juniors
Gonzalo Rodriguez;Extremo izquierdo;21;1,74;ambidiestro;-;;-;2012;Argentinos Juniors
Ciro Rius;Extremo derecho;23;1,71;derecho;01/01/2009;Inferiores Argentinos Juniors;900000;2012;Argentinos Juniors
Fabián Bordagaray;Extremo derecho;25;1,73;derecho;24/10/2011;CA San Lorenzo de Almagro;600000;2012;Argentinos Juniors
